N1_ID_padre,N1_Descripcion,N2_ID_padre,N2_Descripcion,N3_ID_padre,N3_Descripcion,PFM_V5,PFM_V6,BFM
,,110,Belleza y estética,,,Compras_Estética,Compras_Imagen personal y estética,"Gastos de Representación Y 
de Viaje_Otros"
,,506,Software e Internet,,,Compras_Online,Compras_Online,Compras/Gastos_Software
,,585,Artículos de fiesta,,,Compras_Otros,Compras_Celebraciones y regalos,Compras/Gastos_Otros
,,117,Regalos y celebraciones,,,Compras_Otros,Compras_Celebraciones y regalos,Compras/Gastos_Otros
,,465,Puericultura y juguetes,,,Compras_Tiendas,Compras_Juguetes,Compras/Gastos_Otros
,,472,Loterías y apuestas,,,Compras_Apuestas y juego,Compras_Apuestas y juego,Compras/Gastos_Otros
,,113,Otros gastos personales,,,Compras_Otros,Compras_Otros,Compras/Gastos_Otros
9,Ocio,73,"Consolas, videojuegos y entretenimiento",,,Compras_Entretenimiento,Ocio_Videojuegos,Compras/Gastos_Otros
,,114,Cultura,424,"Libros, revistas, periódicos y suscripciones","Compras_Librería, papelería y revistas","Compras_Librería, papelería y revistas",Compras/Gastos_Papelería Y Material Oficina
,,,,427,Museos y exposiciones,Ocio_Entretenimiento,"Ocio_Cines, teatro y museos","Gastos de Representación Y 
de Viaje_Espectáculos Y Eventos"
,,,,430,Música y video,Ocio_Entretenimiento,Ocio_Espectáculos y conciertos,"Gastos de Representación Y 
de Viaje_Espectáculos Y Eventos"
,,,,429,"Cine, teatro y conciertos",Ocio_Entretenimiento,"Ocio_Cines, teatro y museos","Gastos de Representación Y 
de Viaje_Espectáculos Y Eventos"
,,,,433,Otros,Otros_Otros,,
,,,,431,Asociaciones culturales,Ocio_Otros,Ocio_Centros y lugares de ocio,"Gastos de Representación Y 
de Viaje_Espectáculos Y Eventos"
,,119,Otros ocio,,,Ocio_Otros,Ocio_Centros y lugares de ocio,"Gastos de Representación Y 
de Viaje_Espectáculos Y Eventos"
,,116,Restaurantes y salidas,,,Ocio_Restauración,Ocio_Restauración,"Gastos de Representación Y 
de Viaje_Restaurantes"
,,118,Viajes,438,Alquiler vehículo,Automóvil y transporte_Compra y alquiler,Automóvil y transporte_Compra y alquiler,Automovil Y Transporte_Compra Y Alquiler
,,,,439,Combustible,Automóvil y transporte_Gasolineras,Automóvil y transporte_Gasolineras,Automovil Y Transporte_Gasolineras
,,,,448,Parking,Automóvil y transporte_Parking,Automóvil y transporte_Parking,Automovil Y Transporte_Parking
,,,,447,Peajes,Automóvil y transporte_Peajes,Automóvil y transporte_Peajes,Automovil Y Transporte_Parking
,,,,446,Taxis y transporte público,Automóvil y transporte_Transporte privado,Automóvil y transporte_Transporte privado,"Gastos de Representación Y 
de Viaje_Transporte Privado"
,,,,442,Autobús,Automóvil y transporte_Transporte público,Automóvil y transporte_Transporte público y colectivo,"Gastos de Representación Y 
de Viaje_Transporte Público"
,,,,440,Tren,Automóvil y transporte_Transporte público,Automóvil y transporte_Transporte público y colectivo,"Gastos de Representación Y 
de Viaje_Transporte Público"
,,,,443,Hotel/Alojamiento,Ocio_Alojamientos,Ocio_Alojamientos,"Gastos de Representación Y 
de Viaje_Hoteles"
,,,,445,Museos y excursiones,Ocio_Entretenimiento,"Ocio_Cines, teatro y museos","Gastos de Representación Y 
de Viaje_Otros"
,,,,444,Alimentación y restauración,Ocio_Restauración,Ocio_Restauración,"Gastos de Representación Y 
de Viaje_Restaurantes"
,,,,449,Otros,Ocio_Viajes,Ocio_Viajes,"Gastos de Representación Y 
de Viaje_Otros"
,,,,530,Barco,Ocio_Viajes,Ocio_Viajes,"Gastos de Representación Y 
de Viaje_Otros"
,,,,441,Avión,Ocio_Viajes,Ocio_Viajes,"Gastos de Representación Y 
de Viaje_Otros"
,,115,Deportes y clubs deportivos,436,Equipamiento y ropa deportiva,Compras_Moda,Compras_Moda y complementos,Compras/Gastos_Material y ropa de trabajo
,,,,434,Cuotas,Salud deporte y educación_Deporte,Salud y deporte_Gimnasio y centros deportivos,"Gastos de Representación Y 
de Viaje_Otros"
,,,,437,Otros,Salud deporte y educación_Deporte,Salud y deporte_Gimnasio y centros deportivos,"Gastos de Representación Y 
de Viaje_Otros"
,,,,435,Matrícula,Salud deporte y educación_Deporte,Salud y deporte_Gimnasio y centros deportivos,"Gastos de Representación Y 
de Viaje_Otros"
11,Inversiones,481,Fondos,491,Capital,Ahorro e inversión_Inversión,Ahorro e inversión_Inversión,Bancos e Inversiones_Inversiones
,,120,Otros activos,488,Capital,Ahorro e inversión_Inversión,Ahorro e inversión_Inversión,Bancos e Inversiones_Inversiones
,,495,Plan de ahorro,496,Capital,Ahorro e inversión_Plan ahorro,Ahorro e inversión_Plan ahorro,Bancos e Inversiones_Inversiones
,,480,Cartera de valores,128,Capital,Ahorro e inversión_Valores,Ahorro e inversión_Valores,Bancos e Inversiones_Inversiones
,,479,Depósitos,133,Capital,Ahorro e inversión_Inversión,Ahorro e inversión_Inversión,Bancos e Inversiones_Inversiones
,,478,Tarjetas de crédito,126,Liquidación tarjeta,Bancos_Liquidación tarjeta,Bancos_Liquidación tarjeta,Bancos e Inversiones_Liquidación Tarjeta
,,,,503,Recarga tarjeta prepago,Bancos_Otros,Bancos_Otros,Bancos e Inversiones_Otros
,,477,Cuentas corrientes,581,Traspasos,Bancos_Traspasos,Bancos_Traspasos,Bancos e Inversiones_Traspasos
,,,,463,Pago con cheque o talón,Otros_Cheques,Otros_Cheques,Otros_Cheques
,,,,462,Transferencias,Transferencias_Vacío,Transferencias_Vacío,Transferencias_Vacío
,,127,Otros pasivos,134,Capital,Bancos_Préstamos,Bancos_Préstamos,Bancos e Inversiones_Préstamos
,,,,125,Cuotas,Bancos_Préstamos,Bancos_Préstamos,Bancos e Inversiones_Préstamos
15,Impuestos,140,IRPF,,,Impuestos y tasas_Impuestos,Impuestos y tasas_Impuestos,Impuestos Y Tasas_Impuesto Irpf
,,141,Otros tributos y tasas,,,Impuestos y tasas_Otros,Impuestos y tasas_Tasas,Impuestos Y Tasas_Tasas
,,511,Retenciones y deducciones,,,Impuestos y tasas_Otros,,Impuestos Y Tasas_Otros
,,554,Embargos,,,,Impuestos y tasas_Embargos,Impuestos Y Tasas_Multas Y Embargos
17,Otros,10,Animales de compañía,,,Compras_Mascotas,Compras_Mascotas,Compras/Gastos_Otros
,,14,Caridad y otras ayudas sociales,,,Compras_Ong,Compras_ONGs y fundaciones,Gastos Extraordinarios_Donaciones
,,16,Otros seguros,460,Otros,Seguros_Otros,Seguros_Otros,Seguros_Otros
